,quote,author
74,"“If you only read the books that everyone else is reading, you can only think what everyone else is thinking.”",Haruki Murakami
75,“The difference between genius and stupidity is: genius has its limits.”,Alexandre Dumas fils
76,"“He's like a drug for you, Bella.”",Stephenie Meyer
77,“There is no friend as loyal as a book.”,Ernest Hemingway
78,"“When one door of happiness closes, another opens; but often we look so long at the closed door that we do not see the one which has been opened for us.”",Helen Keller
79,“Life isn't about finding yourself. Life is about creating yourself.”,George Bernard Shaw
80,"“There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.”",Jane Austen
81,“Do one thing every day that scares you.”,Eleanor Roosevelt
82,"“I am good, but not an angel. I do sin, but I am not the devil. I am just a small girl in a big world trying to find someone to love.”",Marilyn Monroe
83,"“If I were not a physicist, I would probably be a musician. I often think in music. I live my daydreams in music. I see my life in terms of music.”",Albert Einstein
84,"“If you only read the books that everyone else is reading, you can only think what everyone else is thinking.”",Haruki Murakami
85,“The difference between genius and stupidity is: genius has its limits.”,Alexandre Dumas fils
86,"“He's like a drug for you, Bella.”",Stephenie Meyer
87,“There is no friend as loyal as a book.”,Ernest Hemingway
88,"“When one door of happiness closes, another opens; but often we look so long at the closed door that we do not see the one which has been opened for us.”",Helen Keller
89,“Life isn't about finding yourself. Life is about creating yourself.”,George Bernard Shaw
90,"“There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.”",Jane Austen
91,“Do one thing every day that scares you.”,Eleanor Roosevelt
92,"“I am good, but not an angel. I do sin, but I am not the devil. I am just a small girl in a big world trying to find someone to love.”",Marilyn Monroe
93,"“If I were not a physicist, I would probably be a musician. I often think in music. I live my daydreams in music. I see my life in terms of music.”",Albert Einstein
94,"“If you only read the books that everyone else is reading, you can only think what everyone else is thinking.”",Haruki Murakami
95,“The difference between genius and stupidity is: genius has its limits.”,Alexandre Dumas fils
96,"“He's like a drug for you, Bella.”",Stephenie Meyer
97,“There is no friend as loyal as a book.”,Ernest Hemingway
98,"“When one door of happiness closes, another opens; but often we look so long at the closed door that we do not see the one which has been opened for us.”",Helen Keller
99,“Life isn't about finding yourself. Life is about creating yourself.”,George Bernard Shaw
